Bathrooms,Bedrooms,Fireplaces Total,Lot Square Footage,Parking Covered Total,Square Footage,Square Footage Unfinished,Year Built,Age,Original Price,City,Selling Price
1.75,3,1,8424,2,1450,0,1981,40,750000,5,750000
1.75,3,1,12015,2,2020,0,1982,39,935000,1,885000
1.75,2,1,9500,2,1600,0,1983,38,920000,1,930000
1.75,3,2,10000,2,1800,0,1983,38,875000,1,870000
1.75,3,1,7008,2,1680,0,1983,38,760000,5,770000
1.75,3,1,12546,2,1800,0,1984,37,925000,5,925000
1.75,2,1,2531,2,1320,0,1986,35,549500,1,549500
1.75,2,1,2399,2,1320,0,1986,35,625000,1,595000
1.75,3,2,19894,3,2350,0,1987,34,1750000,1,1720000
1.75,3,0,8843,2,1350,0,1995,26,669000,5,683000
1.75,2,1,21161,0,1760,40,2001,20,888000,1,820000
1.75,2,1,1108,2,1570,0,2007,14,1100000,1,1100000
2,2,2,19602,2,2490,0,1950,71,1195000,1,1125000
2,5,2,14374,4,2960,0,1951,70,1428000,1,1411500
2,3,1,9112,2,1880,0,1951,70,1438000,1,1515000
2,4,1,7950,0,1600,0,1952,69,1198000,1,1100000
2,3,2,47945,1,1900,0,1953,68,624950,1,618000
2,3,2,12481,2,1610,0,1953,68,1075000,1,1000000
2,3,2,10200,2,1990,0,1953,68,1368000,1,1350000
2,4,1,9360,0,1720,0,1954,67,718800,1,680000
2,4,1,12700,1,1290,0,1954,67,685000,1,727000
2,4,2,41159,2,2620,0,1954,67,1300000,1,1300000
2,4,0,23835,1,2950,0,1954,67,1499000,1,1300000
2,3,1,10429,1,1980,0,1954,67,1489000,1,1499000
2,4,3,14059,2,2100,150,1954,67,1575800,1,1500000
2,3,1,13474,2,950,0,1955,66,799000,1,750000
2,3,1,10150,2,1702,0,1955,66,795000,1,775000
2,4,1,8850,0,1380,0,1955,66,750000,1,785000
2,5,1,8821,2,3120,1030,1955,66,800000,1,800000
2,3,1,11729,1,1400,0,1955,66,1495000,1,1350000
2,4,1,9000,1,2520,0,1956,65,1648000,1,1750000
2,4,1,7245,1,1730,0,1956,65,694993,1,700000
2,4,2,8712,2,1470,0,1956,65,775000,1,775000
2,4,1,8918,1,1690,0,1956,65,810000,1,807500
2,3,2,11360,2,1530,0,1956,65,775000,1,825000
2,4,2,24829,2,2200,0,1956,65,900000,1,923000
2,4,1,7462,1,1880,70,1957,64,775000,1,746000
2,3,2,10057,2,1770,0,1957,64,789950,1,840000
2,4,2,15017,1,2030,0,1957,64,900000,1,871000
2,3,1,7632,1,1310,0,1958,63,755000,1,746000
2,3,1,8100,2,1880,0,1958,63,875000,1,850000
2,4,1,7121,0,1400,0,1958,63,675000,1,675000
2,2,1,10394,2,1500,0,1959,62,1498000,1,1400000
2,4,0,8041,0,1240,0,1959,62,675000,1,645000
2,5,0,7590,0,1740,0,1960,61,750000,1,750000
2,4,1,9625,0,1830,0,1960,61,869000,1,800000
2,3,1,7350,1,1800,0,1960,61,775000,1,808200
2,4,2,11600,2,2160,0,1961,60,738000,1,750000
2,5,2,11600,2,2420,0,1961,60,800000,1,805000
2,4,0,7650,1,1870,0,1961,60,624950,1,650000
2,4,2,8362,1,1800,0,1961,60,699500,1,679000
2,3,1,13300,2,1530,0,1961,60,880000,1,878000
2,3,1,13051,460,2200,0,1962,59,720000,1,726500
2,5,2,20817,2,2450,0,1962,59,925000,1,878000
2,5,2,8617,1,2640,0,1962,59,800000,1,800000
2,4,2,7334,1,2040,0,1962,59,829000,1,790000
2,4,2,10880,2,2780,0,1962,59,999990,1,925000
2,3,1,10050,1,1050,0,1962,59,699000,5,699000
2,3,0,7314,2,1320,0,1962,59,625000,5,645500
2,3,2,7350,1,2043,0,1962,59,774900,5,770000
2,3,2,9590,2,1440,0,1963,58,739000,1,766000
2,4,2,7560,2,2030,0,1963,58,799950,1,712500
2,4,2,7350,0,2290,0,1963,58,939000,5,760000
2,4,2,7350,1,2023,0,1963,58,799000,5,775000
2,4,2,12798,1,2860,0,1964,57,849000,1,750000
2,4,2,9125,2,1900,0,1964,57,890000,1,932500
2,3,0,8400,2,1870,0,1964,57,895000,5,957000
2,4,3,31068,6,3096,0,1965,56,1750000,1,1550000
2,3,2,8992,2,1802,0,1965,56,900000,1,890000
2,3,2,12272,2,2460,0,1965,56,950000,1,960000
2,3,1,9662,2,1320,0,1965,56,830000,5,818000
2,4,1,7350,2,1560,0,1966,55,750000,1,732500
2,3,2,10768,2,1724,0,1966,55,888000,1,900000
2,4,2,7530,2,2040,640,1966,55,689000,5,689000
2,4,1,7725,2,2100,0,1966,55,799995,5,810000
2,3,2,1762,1,1500,0,1967,54,620000,1,625300
2,3,1,7200,2,1660,0,1967,54,795000,1,748800
2,3,1,9663,2,1420,0,1968,53,838000,5,732000
2,3,1,8925,2,2400,0,1968,53,700000,1,777000
2,5,2,8737,2,2752,0,1969,52,1499500,1,1380000
2,4,1,7980,2,1760,299,1969,52,839988,1,820000
2,4,1,8424,2,1710,0,1969,52,769000,5,811000
2,4,0,6975,1,1600,0,1971,50,720000,5,730000
2,4,3,8910,2,1900,1900,1972,49,819990,1,819990
2,3,0,7200,1,1590,0,1973,48,699900,5,715000
2,3,1,6160,2,1840,0,1974,47,725000,1,700000
2,3,2,11200,2,2057,0,1976,45,1250000,1,1153400
2,4,0,7000,2,2140,0,1976,45,760000,5,770000
2,4,1,7700,2,2090,0,1977,44,820000,1,775000
2,3,1,6269,2,1710,0,1977,44,809950,5,760000
2,4,1,9383,2,1940,0,1977,44,799950,5,839000
2,3,1,5842,2,1720,0,1978,43,775000,5,775000
2,4,2,10389,2,2440,0,1978,43,1049950,5,1120000
2,4,1,8458,2,1910,0,1981,40,798888,5,840000
2,3,2,14998,2,2590,0,1981,40,1098000,1,1098000
2,3,2,38408,2,2220,0,1982,39,899000,5,899000
2,4,1,69696,2,2070,0,1982,39,748000,5,671000
2,3,1,7407,2,1670,0,1983,38,640000,5,615000
2,4,1,7491,2,1960,0,1984,37,750000,5,800000
2,4,0,15246,0,1296,0,1985,36,725000,1,642000
2,3,1,2169,2,1450,0,1986,35,615000,1,609620
2,2,1,2194,2,1870,0,1986,35,675000,1,650000
2,4,1,14000,2,2634,0,1986,35,1050000,1,1050000
2,3,1,8500,2,1920,0,1987,34,899000,1,895000
2,3,1,9750,2,1920,0,1987,34,968000,1,912000
2,4,1,11475,2,2200,0,1987,34,1050000,1,1050000
2,3,1,103237,3,1848,0,1999,22,799993,5,850000
2.25,2,0,21780,0,4520,0,1941,80,990000,5,790000
2.25,5,2,12750,0,2230,0,1950,71,1175000,1,1175000
2.25,5,2,12432,2,2986,0,1950,71,1399950,1,1320000
2.25,3,4,14400,2,2270,0,1952,69,1895000,3,1875000
2.25,4,2,12029,2,3130,1230,1953,68,625000,1,625000
2.25,4,2,8959,1,3460,0,1953,68,1998000,1,1948000
2.25,3,2,11200,1,1795,0,1954,67,849888,1,837500
2.25,4,1,11197,0,2150,0,1954,67,1050000,1,1050000
2.25,3,2,29317,3,2440,0,1954,67,1250000,1,1260000
2.25,3,2,11243,2,1450,0,1955,66,645000,1,610000
2.25,4,1,12208,1,1900,0,1955,66,949950,1,935000
2.25,4,2,11464,1,1840,0,1956,65,849000,1,920000
2.25,4,1,10018,2,2360,540,1957,64,1300000,1,1185000
2.25,3,2,8000,1,2080,0,1957,64,780000,1,750000
2.25,3,2,9114,2,2350,0,1957,64,850000,1,800000
2.25,4,2,9887,2,2540,660,1958,63,1600000,1,1725000
2.25,4,2,9316,2,1790,0,1958,63,795000,1,700000
2.25,4,2,8190,2,1750,0,1959,62,679999,1,713000
2.25,3,2,8000,2,1750,0,1959,62,735000,1,806000
2.25,3,2,23605,2,2018,100,1959,62,1050000,1,945000
2.25,4,2,8800,2,1920,140,1960,61,650000,1,680000
2.25,5,2,15830,1,2270,0,1960,61,809850,1,740000
2.25,3,2,14100,2,2160,0,1960,61,735000,1,750000
2.25,4,3,16142,2,3600,0,1960,61,1500000,1,1525000
2.25,4,1,10020,1,1870,0,1960,61,795900,1,791000
2.25,3,2,8924,2,1740,0,1960,61,875000,1,840000
2.25,3,2,12408,3,2289,0,1960,61,888000,1,845000
2.25,5,2,13756,2,3320,0,1960,61,1525000,1,1475000
2.25,4,1,8400,2,1740,0,1961,60,675000,1,672210
2.25,4,2,16452,2,2590,0,1961,60,1168000,1,980000
2.25,4,1,8831,2,2550,0,1961,60,1250000,1,1170000
2.25,3,2,8250,2,1840,0,1961,60,690000,1,733000
2.25,4,2,8400,2,1900,0,1962,59,825000,1,825000
2.25,4,1,7980,2,2120,0,1962,59,695000,1,745000
2.25,4,2,8250,2,1960,0,1962,59,887500,1,830000
2.25,3,2,7955,2,1440,0,1962,59,775000,1,815000
2.25,4,2,15300,4,2170,0,1962,59,875000,1,850000
2.25,4,2,8441,2,1950,0,1963,58,810000,1,800000
2.25,4,1,8426,2,1900,0,1963,58,799990,1,740000
2.25,4,2,17142,2,2530,0,1963,58,1280000,1,1085000
2.25,4,2,9459,2,2060,0,1964,57,929950,1,890000
2.25,4,2,9088,2,1700,0,1964,57,750000,5,779500
2.25,4,1,8862,2,1900,0,1965,56,725000,1,725000
2.25,4,1,7398,2,2080,0,1965,56,925000,1,850000
2.25,3,1,7154,2,1460,0,1965,56,730000,1,680000
2.25,4,1,7367,2,1810,0,1965,56,809000,1,752000
2.25,4,1,8100,2,1840,0,1965,56,725000,1,740000
2.25,4,2,8000,2,2040,0,1965,56,895000,1,882000
2.25,4,2,12037,2,2800,0,1965,56,800000,1,832590
2.25,5,1,8400,2,2170,50,1965,56,875000,1,925000
2.25,5,2,12730,2,3620,0,1965,56,1150000,1,1250000
2.25,4,1,8194,2,2290,0,1966,55,675000,1,652500
2.25,4,1,8548,1,2245,0,1966,55,948000,1,1050000
2.25,4,3,9751,2,2040,0,1966,55,1279950,1,1250000
2.25,4,3,22464,2,3740,0,1966,55,1639500,1,1639500
2.25,3,2,10880,2,1880,0,1966,55,650000,1,810000
2.25,4,1,9676,2,1910,0,1966,55,799999,1,820000
